character,text,start_time,end_time,location,time in ms
LUKE,i thought he might have meant old ben do you know what hes talking about well i wonder if hes related to ben,"00:23:52,260","00:23:59,640", LARS HOMESTEAD ,7380
OWEN,that old mans just a crazy old wizard tomorrow i want you to take that r2 unit into anchorhead and have its memory flushed thatll be the end of it it belongs to us now,"00:23:59,730","00:24:08,690", LARS HOMESTEAD ,8960
LUKE,but what if this obiwan comes looking for him,"00:24:10,400","00:24:13,070", LARS HOMESTEAD ,2670
OWEN,he wont i dont think he exists any more he died about the same time as your father,"00:24:13,160","00:24:19,250", LARS HOMESTEAD ,6090
LUKE,he knew my father,"00:24:19,330","00:24:22,460", LARS HOMESTEAD ,3130
OWEN,i told you to forget it your only concern is to prepare the new droids for tomorrow in the morning i want them on the south ridge working out those condensers,"00:24:19,330","00:24:30,630", LARS HOMESTEAD ,11300
LUKE,yes sir i think those new droids are going to work out fine in fact i uh was also thinking about our agreement about my staying on another season and if these new droids do work out i want to transmit my application to the academy this year,"00:24:31,300","00:24:47,690", LARS HOMESTEAD ,16390
OWEN,you mean the next semester before harvest,"00:24:48,610","00:24:50,530", LARS HOMESTEAD ,1920
LUKE,sure therere more than enough droids,"00:24:50,610","00:24:52,450", LARS HOMESTEAD ,1840
OWEN,harvest is when i need you the most only one more season this year well make enough on the harvest so ill be able to hire some more hands and then you can go to the academy next year,"00:24:52,530","00:25:02,330", LARS HOMESTEAD ,9800
OWEN,you must understand i need you here luke,"00:25:03,250","00:25:05,290", LARS HOMESTEAD ,2040
LUKE,but its a whole nother year,"00:25:05,380","00:25:08,300", LARS HOMESTEAD ,2920
OWEN,look its only one more season,"00:25:05,380","00:25:08,300", LARS HOMESTEAD ,2920
LUKE,yeah thats what you said last year when biggs and tank left,"00:25:08,380","00:25:10,460", LARS HOMESTEAD ,2080
AUNT BERU,where are you going,"00:25:10,550","00:25:13,050", LARS HOMESTEAD ,2500
LUKE,it looks like im going nowhere i have to finish cleaning those droids,"00:25:10,550","00:25:14,930", LARS HOMESTEAD ,4380
AUNT BERU,owen he cant stay here forever most of his friends have gone it means so much to him,"00:25:15,010","00:25:20,520", LARS HOMESTEAD ,5510
OWEN,ill make it up to him next year i promise,"00:25:21,180","00:25:23,600", LARS HOMESTEAD ,2420
AUNT BERU,lukes just not a farmer owen he has too much of his father in him,"00:25:25,310","00:25:29,230", LARS HOMESTEAD ,3920
OWEN,thats what im afraid of,"00:25:30,030","00:25:31,530", LARS HOMESTEAD ,1500
LUKE,what are you doing hiding there,"00:26:20,700","00:26:23,870", LARS HOMESTEAD ,3170
THREEPIO,it wasnt my fault sir please dont deactivate me i told him not to go but hes faulty malfunctioning kept babbling on about his mission,"00:26:20,700","00:26:31,800", LARS HOMESTEAD ,11100
LUKE,oh no,"00:26:28,580","00:26:31,800", LARS HOMESTEAD ,3220
THREEPIO,that r2 unit has always been a problem these astrodroids are getting quite out of hand even i cant understand their logic at times,"00:26:40,300","00:26:47,730", TATOOINE ,7430
LUKE,how could i be so stupid hes nowhere in sight blast it,"00:26:47,810","00:26:51,570", TATOOINE ,3760
THREEPIO,pardon me sir but couldnt we go after him,"00:26:51,650","00:26:54,280", TATOOINE ,2630
LUKE,its too dangerous with all the sandpeople around well have to wait until morning,"00:26:54,360","00:26:57,570", TATOOINE ,3210
OWEN,luke im shutting the power down for the night,"00:26:57,650","00:26:59,660", TATOOINE ,2010
LUKE,all right ill be there in a few minutes boy am i gonna get it,"00:26:59,740","00:27:03,870", TATOOINE ,4130
LUKE,you know that little droid is going to cause me a lot of trouble,"00:27:05,000","00:27:06,960", TATOOINE ,1960
THREEPIO,oh he excels at that sir,"00:27:07,040","00:27:09,000", TATOOINE ,1960
OWEN,have you seen luke this morning,"00:27:31,690","00:27:33,610", LARS HOMESTEAD ,1920
AUNT BERU,he said he had some things to do before he started today so he left early,"00:27:33,690","00:27:37,110", LARS HOMESTEAD ,3420
OWEN,uh did he take those two new droids with him,"00:27:37,190","00:27:40,280", LARS HOMESTEAD ,3090
AUNT BERU,i think so,"00:27:37,190","00:27:40,280", LARS HOMESTEAD ,3090
OWEN,well hed better have those units in the south range repaired be midday or therell be hell to pay,"00:27:40,950","00:27:45,540", LARS HOMESTEAD ,4590
LUKE,there are two banthas down there but i dont see any wait a second theyre sandpeople all right i can see one of them now,"00:28:50,480","00:28:55,230", TATOOINE ,4750
BEN,hello there come here my little friend dont be afraid,"00:30:09,850","00:30:16,730", TATOOINE ,6880
BEN,dont worry hell be all right,"00:30:19,440","00:30:21,190", TATOOINE ,1750
BEN,rest easy son youve had a busy day youre fortunate youre still in one piece,"00:30:30,740","00:30:33,700", TATOOINE ,2960
LUKE,ben ben kenobi boy am i glad to see you,"00:30:36,960","00:30:41,250", TATOOINE ,4290
BEN,the jundland wastes are not to be traveled lightly tell me young luke what brings you out this far,"00:30:41,340","00:30:51,100", TATOOINE ,9760
LUKE,oh this little droid i think hes searching for his former master ive never seen such devotion in a droid before there seems to be no stopping him he claims to be the property of an obiwan kenobi is he a relative of yours do you know who hes talking about,"00:30:51,850","00:31:07,150", TATOOINE ,15300
BEN,obiwan kenobi obiwan now thats a name i havent heard in a long time a long time,"00:31:08,700","00:31:21,750", TATOOINE ,13050
LUKE,i think my uncle knew him he said he was dead,"00:31:22,920","00:31:25,840", TATOOINE ,2920
BEN,oh hes not dead not not yet,"00:31:25,920","00:31:28,930", TATOOINE ,3010
LUKE,you know him,"00:31:29,010","00:31:32,010", TATOOINE ,3000
BEN,well of course of course i know him hes me i havent gone by the name obiwan since oh before you were born,"00:31:29,010","00:31:42,190", TATOOINE ,13180
LUKE,then the droid does belong to you,"00:31:42,270","00:31:43,900", TATOOINE ,1630
BEN,dont seem to remember ever owning a droid very interesting,"00:31:43,980","00:31:49,990", TATOOINE ,6010
BEN,i think we better get indoors the sandpeople are easily startled but they will soon be back and in greater numbers,"00:31:52,030","00:32:00,250", TATOOINE ,8220
THREEPIO,where am i i must have taken a bad step,"00:32:13,850","00:32:16,520", TATOOINE ,2670
LUKE,can you stand weve got to get out of here before the sandpeople return,"00:32:17,980","00:32:21,230", TATOOINE ,3250
THREEPIO,i dont think i can make it you go on master luke theres no sense in you risking yourself on my account im done for,"00:32:21,310","00:32:28,190", TATOOINE ,6880
LUKE,no youre not what kind of talk is that,"00:32:29,240","00:32:31,160", TATOOINE ,1920
BEN,quickly son theyre on the move,"00:32:31,240","00:32:33,160", TATOOINE ,1920
LUKE,no my father didnt fight in the wars he was a navigator on a spice freighter,"00:32:38,450","00:32:41,830", KENOBI'S DWELLING,3380
BEN,thats what your uncle told you he didnt hold with your fathers ideals thought he should have stayed here and not gotten involved,"00:32:41,920","00:32:48,880", KENOBI'S DWELLING,6960
LUKE,you fought in the clone wars,"00:32:49,590","00:32:51,930", KENOBI'S DWELLING,2340
BEN,yes i was once a jedi knight the same as your father,"00:32:49,590","00:32:55,680", KENOBI'S DWELLING,6090
LUKE,i wish id known him,"00:32:58,220","00:32:59,980", KENOBI'S DWELLING,1760
BEN,he was the best starpilot in the galaxy and a cunning warrior i understand youve become quite a good pilot yourself and he was a good friend which reminds me,"00:33:00,060","00:33:14,410", KENOBI'S DWELLING,14350
BEN,i have something here for you your father wanted you to have this when you were old enough but your uncle wouldnt allow it he feared you might follow old obiwan on some damnedfool idealistic crusade like your father did,"00:33:15,620","00:33:31,550", KENOBI'S DWELLING,15930
THREEPIO,sir if youll not be needing me ill close down for awhile,"00:33:31,630","00:33:34,590", KENOBI'S DWELLING,2960
LUKE,sure go ahead,"00:33:34,680","00:33:36,260", KENOBI'S DWELLING,1580
LUKE,what is it,"00:33:38,930","00:33:42,350", KENOBI'S DWELLING,3420
BEN,your fathers lightsaber this is the weapon of a jedi knight not as clumsy or as random as a blaster,"00:33:38,930","00:33:48,650", KENOBI'S DWELLING,9720
BEN,an elegant weapon for a more civilized time for over a thousand generations the jedi knights were the guardians of peace and justice in the old republic before the dark times before the empire,"00:33:49,650","00:34:07,920", KENOBI'S DWELLING,18270
LUKE,how did my father die,"00:34:10,920","00:34:12,880", KENOBI'S DWELLING,1960
BEN,a young jedi named darth vader who was a pupil of mine until he turned to evil helped the empire hunt down and destroy the jedi knights he betrayed and murdered your father now the jedi are all but extinct vader was seduced by the dark side of the force,"00:34:15,340","00:34:37,910", KENOBI'S DWELLING,22570
LUKE,the force,"00:34:37,990","00:34:39,580", KENOBI'S DWELLING,1590
BEN,well the force is what gives a jedi his power its an energy field created by all living things it surrounds us and penetrates us it binds the galaxy together,"00:34:40,870","00:34:51,340", KENOBI'S DWELLING,10470
BEN,now lets see if we cant figure out what you are my little friend and where you come from,"00:34:58,390","00:35:04,310", KENOBI'S DWELLING,5920
LUKE,i saw part of the message he was,"00:35:04,390","00:35:07,560", KENOBI'S DWELLING,3170
BEN,i seem to have found it,"00:35:04,390","00:35:07,560", KENOBI'S DWELLING,3170
LEIA,general kenobi years ago you served my father in the clone wars now he begs you to help him in his struggle against the empire i regret that i am unable to present my fathers request to you in person but my ship has fallen under attack and im afraid my mission to bring you to alderaan has failed i have placed information vital to the survival of the rebellion into the memory systems of this r2 unit my father will know how to retrieve it you must see this droid safely delivered to him on alderaan this is our most desperate hour help me obiwan kenobi youre my only hope,"00:35:07,640","00:35:40,970", KENOBI'S DWELLING,33330
BEN,you must learn the ways of the force if youre to come with me to alderaan,"00:35:55,900","00:35:59,990", KENOBI'S DWELLING,4090
LUKE,alderaan im not going to alderaan ive got to go home its late im in for it as it is,"00:36:00,070","00:36:05,950", KENOBI'S DWELLING,5880
BEN,i need your help luke she needs your help im getting too old for this sort of thing,"00:36:06,040","00:36:11,710", KENOBI'S DWELLING,5670
LUKE,i cant get involved ive got work to do its not that i like the empire i hate it but theres nothing i can do about it right now its such a long way from here,"00:36:16,300","00:36:29,980", KENOBI'S DWELLING,13680
BEN,thats your uncle talking,"00:36:26,470","00:36:29,980", KENOBI'S DWELLING,3510
LUKE,oh god my uncle how am i ever going to explain this,"00:36:30,060","00:36:33,940", KENOBI'S DWELLING,3880
BEN,learn about the force luke,"00:36:34,020","00:36:35,730", KENOBI'S DWELLING,1710
LUKE,look i can take you as far as anchorhead you can get a transport there to mos eisley or wherever youre going,"00:36:42,910","00:36:49,200", KENOBI'S DWELLING,6290
BEN,you must do what you feel is right of course,"00:36:50,410","00:36:53,420", KENOBI'S DWELLING,3010
TAGGE,until this battle station is fully operational we are vulnerable the rebel alliance is too well equipped theyre more dangerous than you realize,"00:37:00,970","00:37:08,850", DEATH STAR ,7880
MOTTI,dangerous to your starfleet commander not to this battle station,"00:37:08,930","00:37:13,650", DEATH STAR ,4720
TAGGE,the rebellion will continue to gain a support in the imperial senate as long as,"00:37:13,730","00:37:17,360", DEATH STAR ,3630
TARKIN,the imperial senate will no longer be of any concern to us ive just received word that the emperor has dissolved the council permanently the last remnants of the old republic have been swept away,"00:37:17,440","00:37:29,790", DEATH STAR ,12350
TAGGE,thats impossible how will the emperor maintain control without the bureaucracy,"00:37:30,450","00:37:34,250", DEATH STAR ,3800
TARKIN,the regional governors now have direct control over territories fear will keep the local systems in line fear of this battle station,"00:37:34,330","00:37:45,470", DEATH STAR ,11140
TAGGE,and what of the rebellion if the rebels have obtained a complete technical readout of this station it is possible however unlikely that they might find a weakness and exploit it,"00:37:45,550","00:37:54,310", DEATH STAR ,8760
VADER,the plans you refer to will soon be back in our hands,"00:37:55,060","00:37:58,650", DEATH STAR ,3590
MOTTI,any attack made by the rebels against this station would be a useless gesture no matter what technical data theyve obtained this station is now the ultimate power in the universe i suggest we use it,"00:37:58,730","00:38:11,250", DEATH STAR ,12520
VADER,dont be too proud of this technological terror youve constructed the ability to destroy a planet is insignificant next to the power of the force,"00:38:11,330","00:38:21,000", DEATH STAR ,9670
MOTTI,dont try to frighten us with your sorcerers ways lord vader your sad devotion to that ancient religion has not helped you conjure up the stolen data tapes or given you clairvoyance enough to find the rebels hidden fort,"00:38:21,090","00:38:34,350", DEATH STAR ,13260
VADER,i find your lack of faith disturbing,"00:38:41,570","00:38:44,190", DEATH STAR ,2620
TARKIN,enough of this vader release him,"00:38:45,320","00:38:48,030", DEATH STAR ,2710
VADER,as you wish,"00:38:48,120","00:38:49,580", DEATH STAR ,1460
TARKIN,this bickering is pointless lord vader will provide us with the location of the rebel fortress by the time this station is operational we will then crush the rebellion with one swift stroke,"00:38:51,790","00:39:04,760", DEATH STAR ,12970
LUKE,it looks like sandpeople did this all right look here are gaffi sticks bantha tracks its just i never heard of them hitting anything this big before,"00:39:12,720","00:39:18,730", TATOOINE ,6010
BEN,they didnt but we are meant to think they did these tracks are side by side sandpeople always ride single file to hide there numbers,"00:39:18,810","00:39:28,410", TATOOINE ,9600
LUKE,these are the same jawas that sold us artoo and threepio,"00:39:28,490","00:39:31,370", TATOOINE ,2880
BEN,and these blast points too accurate for sandpeople only imperial stormtroopers are so precise,"00:39:31,450","00:39:40,250", TATOOINE ,8800
LUKE,why would imperial troops want to slaughter jawas,"00:39:40,330","00:39:42,880", TATOOINE ,2550
LUKE,if they traced the robots here they may have learned who they sold them to and that would lead them home,"00:39:48,300","00:39:53,390", TATOOINE ,5090
BEN,wait luke its too dangerous,"00:39:53,470","00:39:56,850", TATOOINE ,3380
LUKE,uncle owen aunt beru uncle owen,"00:40:21,120","00:40:26,170", TATOOINE ,5050
VADER,and now your highness we will discuss the location of your hidden rebel base,"00:41:16,470","00:41:22,060", DEATH STAR ,5590
BEN,theres nothing you could have done luke had you been there youd have been killed too and the droids would be in the hands of the empire,"00:42:05,060","00:42:12,950", TATOOINE ,7890
LUKE,i want to come with you to alderaan theres nothing here for me now i want to learn the ways of the force and become a jedi like my father,"00:42:14,740","00:42:22,580", TATOOINE ,7840
BEN,mos eisley spaceport you will never find a more wretched hive of scum and villainy we must be cautious,"00:42:38,300","00:42:47,980", TATOOINE ,9680
TROOPER,how long have you had these droids,"00:43:29,310","00:43:31,230", TATOOINE ,1920
LUKE,about three or four seasons,"00:43:31,320","00:43:34,490", TATOOINE ,3170
BEN,theyre for sale if you want them,"00:43:31,320","00:43:34,490", TATOOINE ,3170
TROOPER,let me see your identification,"00:43:34,570","00:43:36,490", TATOOINE ,1920
BEN,you dont need to see his identification,"00:43:37,360","00:43:39,870", TATOOINE ,2510
TROOPER,we dont need to see his identification,"00:43:40,490","00:43:42,330", TATOOINE ,1840
BEN,these are not the droids your looking for,"00:43:42,410","00:43:44,950", TATOOINE ,2540
TROOPER,these are not the droids were looking for,"00:43:45,040","00:43:47,000", TATOOINE ,1960
BEN,he can go about his business,"00:43:48,170","00:43:50,540", TATOOINE ,2370
TROOPER,you can go about your business,"00:43:50,630","00:43:53,880", TATOOINE ,3250
BEN,move along,"00:43:50,630","00:43:53,880", TATOOINE ,3250
TROOPER,move along move along,"00:43:53,960","00:43:56,550", TATOOINE ,2590
THREEPIO,i cant abide these jawas disgusting creatures,"00:44:12,860","00:44:16,030", TATOOINE ,3170
LUKE,go on go on i cant understand how we got by those troopers i thought we were dead,"00:44:17,030","00:44:23,580", TATOOINE ,6550
BEN,the force can have a strong influence on the weakminded you will find it a powerful ally,"00:44:23,660","00:44:28,000", TATOOINE ,4340
