character,text,start_time,end_time,location,time in ms
TROOPER,all right check that side of the street its secure move on to the next door,"00:51:47,520","00:51:56,320", TATOOINE ,8800
THREEPIO,i would much rather have gone with master luke than stay here with you i dont know what all the trouble is about but im sure it must be your fault,"00:52:03,160","00:52:10,080", TATOOINE ,6920
THREEPIO,you watch your language,"00:52:10,830","00:52:12,420", TATOOINE ,1590
LUKE,he says its the best he can do since the xp38 came out theyre just not in demand,"00:52:14,460","00:52:21,430", TATOOINE ,6970
BEN,it will be enough,"00:52:21,510","00:52:23,510", TATOOINE ,2000
HAN,ive been waiting for you jabba,"00:52:49,500","00:52:51,040", DOCKING BAY 94 ,1540
JABBA,han my boy there are times when you disappoint me why havent you paid me and why did you have to fry poor greedo like that after all weve been through together,"00:52:57,710","00:53:07,100", DOCKING BAY 94 ,9390
JABBA,han han if only you hadnt had to dump that shipment of spice you understand i just cant make an exception where would i be if every pilot who smuggled for me dumped their shipment at the first sign of an imperial starship its not good business,"00:53:15,940","00:53:26,330", DOCKING BAY 94 ,10390
HAN,you know even i get boarded sometimes jabba i had no choice but ive got a charter now and i can pay you back plus a little extra i just need some more time,"00:53:26,370","00:53:39,510", DOCKING BAY 94 ,13140
JABBA,put your blasters away han my boy im only doing this because youre the best and i need you so for an extra say twenty percent ill give you a little more time but this is it if you disappoint me again ill put a price on your head so large you wont be able to go near a civilized system for the rest of your short life,"00:53:39,590","00:54:04,410", DOCKING BAY 94 ,24820
HAN,shell make point five beyond the speed of light she may not look like much but shes got it where it counts kid ive added some special modifications myself,"00:54:40,360","00:54:50,870", MOS EISLEY SPACEPORT ,10510
HAN,were a little rushed so if youll hurry aboard well get out of here,"00:54:50,950","00:54:54,870", MOS EISLEY SPACEPORT ,3920
THREEPIO,hello sir,"00:54:59,460","00:55:00,960", MOS EISLEY SPACEPORT ,1500
TROOPER,which way,"00:55:09,890","00:55:11,140", TATOOINE ,1250
TROOPER,all right men load your weapons,"00:55:13,140","00:55:15,140", TATOOINE ,2000
TROOPER,stop that ship,"00:55:16,730","00:55:19,360", MOS EISLEY SPACEPORT ,2630
HAN,it looks like an imperial cruiser our passengers must be hotter than i thought try and hold them off angle the deflector shield while i make the calculations for the jump to light speed,"00:55:58,230","00:56:01,860", MILLENNIUM FALCON ,3630
HAN,stay sharp there are two more coming in theyre going to try to cut us off,"00:56:12,620","00:56:15,500", MILLENNIUM FALCON ,2880
LUKE,why dont you outrun them i thought you said this thing was fast,"00:56:15,580","00:56:17,660", MILLENNIUM FALCON ,2080
HAN,watch your mouth kid or youre going to find yourself floating home well be safe enough once we make the jump to hyperspace besides i know a few maneuvers well lose them,"00:56:17,750","00:56:25,090", MILLENNIUM FALCON ,7340
HAN,heres where the fun begins,"00:56:29,180","00:56:31,220", MILLENNIUM FALCON ,2040
BEN,how long before you can make the jump to light speed,"00:56:31,300","00:56:33,100", MILLENNIUM FALCON ,1800
HAN,itll take a few moments to get the coordinates from the navicomputer,"00:56:33,180","00:56:36,100", MILLENNIUM FALCON ,2920
LUKE,are you kidding at the rate theyre gaining,"00:56:36,180","00:56:37,770", MILLENNIUM FALCON ,1590
HAN,traveling through hyperspace isnt like dusting crops boy without precise calculations we could fly right through a star or bounce too close to a supernova and thatd end your trip real quick wouldnt it,"00:56:37,850","00:56:47,150", MILLENNIUM FALCON ,9300
LUKE,whats that flashing,"00:56:47,240","00:56:49,610", MILLENNIUM FALCON ,2370
HAN,were losing our deflector shield go strap yourself in im going to make the jump to light speed,"00:56:47,240","00:56:52,660", MILLENNIUM FALCON ,5420
MOTTI,weve entered the alderaan system,"00:57:13,640","00:57:15,970", DEATH STAR ,2330
LEIA,governor tarkin i should have expected to find you holding vaders leash i recognized your foul stench when i was brought on board,"00:57:16,970","00:57:24,690", DEATH STAR ,7720
TARKIN,charming to the last you dont know how hard i found it signing the order to terminate your life,"00:57:26,320","00:57:32,820", DEATH STAR ,6500
LEIA,i surprised you had the courage to take the responsibility yourself,"00:57:32,910","00:57:35,780", DEATH STAR ,2870
TARKIN,princess leia before your execution i would like you to be my guest at a ceremony that will make this battle station operational no star system will dare oppose the emperor now,"00:57:35,870","00:57:47,340", DEATH STAR ,11470
LEIA,the more you tighten your grip tarkin the more star systems will slip through your fingers,"00:57:48,010","00:57:52,930", DEATH STAR ,4920
TARKIN,not after we demonstrate the power of this station in a way you have determined the choice of the planet thatll be destroyed first since you are reluctant to provide us with the location of the rebel base i have chosen to test this stations destructive power on your home planet of alderaan,"00:57:53,010","00:58:11,700", DEATH STAR ,18690
LEIA,no alderaan is peaceful we have no weapons you cant possibly,"00:58:12,700","00:58:15,450", DEATH STAR ,2750
TARKIN,you would prefer another target a military target then name the system,"00:58:15,530","00:58:20,200", DEATH STAR ,4670
TARKIN,i grow tired of asking this so itll be the last time where is the rebel base,"00:58:22,080","00:58:28,210", DEATH STAR ,6130
LEIA,dantooine,"00:58:31,760","00:58:33,380", DEATH STAR ,1620
LEIA,theyre on dantooine,"00:58:34,050","00:58:35,840", DEATH STAR ,1790
TARKIN,there you see lord vader she can be reasonable,"00:58:35,930","00:58:39,310", DEATH STAR ,3380
TARKIN,continue with the operation you may fire when ready,"00:58:39,390","00:58:42,270", DEATH STAR ,2880
LEIA,what,"00:58:42,350","00:58:44,520", DEATH STAR ,2170
TARKIN,youre far too trusting dantooine is too remote to make an effective demonstration but dont worry we will deal with your rebel friends soon enough,"00:58:42,350","00:58:51,740", DEATH STAR ,9390
BEN,i felt a great disturbance in the force as if millions of voices suddenly cried out in terror and were suddenly silenced i fear something terrible has happened,"00:59:25,440","00:59:33,440", MILLENNIUM FALCON ,8000
BEN,youd better get on with your exercises,"00:59:35,110","00:59:37,410", MILLENNIUM FALCON ,2300
HAN,well you can forget your troubles with those imperial slugs i told you id outrun em,"00:59:39,950","00:59:44,450", MILLENNIUM FALCON ,4500
HAN,dont everyone thank me at once,"00:59:48,420","00:59:50,500", MILLENNIUM FALCON ,2080
HAN,anyway we should be at alderaan about ohtwohundred hours,"00:59:50,590","00:59:54,010", MILLENNIUM FALCON ,3420
THREEPIO,now be careful artoo,"01:00:02,560","01:00:04,560", MILLENNIUM FALCON ,2000
THREEPIO,he made a fair move screaming about it wont help you,"01:00:13,940","01:00:16,530", MILLENNIUM FALCON ,2590
HAN,let him have it its not wise to upset a wookiee,"01:00:16,610","01:00:18,780", MILLENNIUM FALCON ,2170
THREEPIO,but sir nobody worries about upsetting a droid,"01:00:18,860","01:00:21,240", MILLENNIUM FALCON ,2380
HAN,thats cause droids dont pull peoples arms out of their socket when they lose wookiees are known to do that,"01:00:21,330","01:00:28,210", MILLENNIUM FALCON ,6880
THREEPIO,i see your point sir i suggest a new strategy artoo let the wookiee win,"01:00:29,920","01:00:35,510", MILLENNIUM FALCON ,5590
BEN,remember a jedi can feel the force flowing through him,"01:00:53,980","01:00:57,610", MILLENNIUM FALCON ,3630
LUKE,you mean it controls your actions,"01:00:58,360","01:01:00,700", MILLENNIUM FALCON ,2340
BEN,partially but it also obeys your commands,"01:00:58,360","01:01:02,700", MILLENNIUM FALCON ,4340
HAN,hokey religions and ancient weapons are no match for a good blaster at your side kid,"01:01:07,910","01:01:12,170", MILLENNIUM FALCON ,4260
LUKE,you dont believe in the force do you,"01:01:12,840","01:01:14,550", MILLENNIUM FALCON ,1710
HAN,kid ive flown from one side of this galaxy to the other ive seen a lot of strange stuff but ive never seen anything to make me believe theres one allpowerful force controlling everything theres no mystical energy field that controls my destiny,"01:01:15,380","01:01:29,810", MILLENNIUM FALCON ,14430
HAN,its all a lot of simple tricks and nonsense,"01:01:29,890","01:01:32,770", MILLENNIUM FALCON ,2880
BEN,i suggest you try it again luke,"01:01:32,860","01:01:35,730", MILLENNIUM FALCON ,2870
BEN,this time let go your conscious self and act on instinct,"01:01:37,440","01:01:44,160", MILLENNIUM FALCON ,6720
LUKE,with the blast shield down i cant even see how am i supposed to fight,"01:01:45,240","01:01:48,700", MILLENNIUM FALCON ,3460
BEN,your eyes can deceive you dont trust them,"01:01:48,790","01:01:51,250", MILLENNIUM FALCON ,2460
BEN,stretch out with your feelings,"01:02:00,630","01:02:02,970", MILLENNIUM FALCON ,2340
BEN,you see you can do it,"01:02:17,400","01:02:19,570", MILLENNIUM FALCON ,2170
HAN,i call it luck,"01:02:19,650","01:02:21,320", MILLENNIUM FALCON ,1670
BEN,in my experience theres no such thing as luck,"01:02:21,400","01:02:24,030", MILLENNIUM FALCON ,2630
HAN,look going good against remotes is one thing going good against the living thats something else,"01:02:24,110","01:02:29,450", MILLENNIUM FALCON ,5340
HAN,looks like were coming up on alderaan,"01:02:30,580","01:02:32,580", MILLENNIUM FALCON ,2000
LUKE,you know i did feel something i could almost see the remote,"01:02:35,920","01:02:38,630", MILLENNIUM FALCON ,2710
BEN,thats good you have taken your first step into a larger world,"01:02:38,710","01:02:43,130", MILLENNIUM FALCON ,4420
TARKIN,yes,"01:02:48,310","01:02:49,890", DEATH STAR ,1580
OFFICER CASS,our scout ships have reached dantooine they found the remains of a rebel base but they estimate that it has been deserted for some time they are now conducting an extensive search of the surrounding systems,"01:02:49,970","01:02:59,900", DEATH STAR ,9930
TARKIN,she lied she lied to us,"01:03:00,900","01:03:03,490", DEATH STAR ,2590
VADER,i told you she would never consciously betray the rebellion,"01:03:03,570","01:03:07,280", DEATH STAR ,3710
TARKIN,terminate her immediately,"01:03:08,620","01:03:10,410", DEATH STAR ,1790
HAN,stand by chewie here we go cut in the sublight engines,"01:03:13,750","01:03:16,460", MILLENNIUM FALCON ,2710
HAN,what the aw weve come out of hyperspace into a meteor shower some kind of asteroid collision its not on any of the charts,"01:03:19,130","01:03:29,510", MILLENNIUM FALCON ,10380
LUKE,whats going on,"01:03:27,180","01:03:29,510", MILLENNIUM FALCON ,2330
HAN,our position is correct except no alderaan,"01:03:29,600","01:03:31,930", MILLENNIUM FALCON ,2330
LUKE,what do you mean where is it,"01:03:32,020","01:03:34,270", MILLENNIUM FALCON ,2250
HAN,thats what im trying to tell you kid it aint there its been totally blown away,"01:03:32,020","01:03:36,190", MILLENNIUM FALCON ,4170
LUKE,what how,"01:03:36,270","01:03:38,980", MILLENNIUM FALCON ,2710
BEN,destroyed by the empire,"01:03:36,270","01:03:38,980", MILLENNIUM FALCON ,2710
HAN,the entire starfleet couldnt destroy the whole planet itd take a thousand ships with more fire power than ive,"01:03:39,060","01:03:43,940", MILLENNIUM FALCON ,4880
HAN,theres another ship coming in,"01:03:45,490","01:03:47,740", MILLENNIUM FALCON ,2250
LUKE,maybe they know what happened,"01:03:45,490","01:03:47,740", MILLENNIUM FALCON ,2250
BEN,its an imperial fighter,"01:03:47,820","01:03:49,160", MILLENNIUM FALCON ,1340
LUKE,it followed us,"01:03:51,160","01:03:53,790", MILLENNIUM FALCON ,2630
BEN,no its a short range fighter,"01:03:51,160","01:03:53,790", MILLENNIUM FALCON ,2630
HAN,there arent any bases around here where did it come from,"01:03:53,870","01:03:56,040", MILLENNIUM FALCON ,2170
LUKE,it sure is leaving in a big hurry if they identify us were in big trouble,"01:03:59,290","01:04:02,050", MILLENNIUM FALCON ,2760
HAN,not if i can help it chewiejam its transmissions,"01:04:02,130","01:04:04,260", MILLENNIUM FALCON ,2130
BEN,itd be as well to let it go its too far out of range,"01:04:04,340","01:04:07,720", MILLENNIUM FALCON ,3380
HAN,not for long,"01:04:04,340","01:04:07,720", MILLENNIUM FALCON ,3380
BEN,a fighter that size couldnt get this deep into space on its own,"01:04:11,560","01:04:14,810", MILLENNIUM FALCON ,3250
LUKE,it must have gotten lost been part of a convoy or something,"01:04:14,890","01:04:17,560", MILLENNIUM FALCON ,2670
HAN,well he aint going to be around long enough to tell anyone about us,"01:04:17,640","01:04:20,560", MILLENNIUM FALCON ,2920
LUKE,look at him hes headed for that small moon,"01:04:23,030","01:04:24,940", MILLENNIUM FALCON ,1910
HAN,i think i can get him before he gets there hes almost in range,"01:04:25,030","01:04:27,570", MILLENNIUM FALCON ,2540
BEN,thats no moon its a space station,"01:04:29,070","01:04:34,700", MILLENNIUM FALCON ,5630
HAN,its too big to be a space station,"01:04:31,330","01:04:34,700", MILLENNIUM FALCON ,3370
LUKE,i have a very bad feeling about this,"01:04:38,000","01:04:40,460", MILLENNIUM FALCON ,2460
HAN,yeah i think your right full reverse chewie lock in the auxiliary power,"01:04:40,540","01:04:53,760", MILLENNIUM FALCON ,13220
LUKE,why are we still moving towards it,"01:04:55,770","01:04:57,730", MILLENNIUM FALCON ,1960
HAN,were caught in a tractor beam its pulling us in,"01:04:57,810","01:04:59,650", MILLENNIUM FALCON ,1840
LUKE,but theres gotta be something you can do,"01:04:59,730","01:05:01,400", MILLENNIUM FALCON ,1670
HAN,theres nothin i can do about it kid im in full power im going to have to shut down but theyre not going to get me without a fight,"01:05:01,480","01:05:05,820", MILLENNIUM FALCON ,4340
BEN,you cant win but there are alternatives to fighting,"01:05:10,360","01:05:13,950", MILLENNIUM FALCON ,3590
OFFICER,close all outboard shields close all outboard shields,"01:05:49,780","01:05:59,750", DEATH STAR ,9970
TARKIN,yes,"01:06:01,420","01:06:02,420", DEATH STAR ,1000
VOICE,weve captured a freighter entering the remains of the alderaan system its markings match those of a ship that blasted its way out of mos eisley,"01:06:02,500","01:06:09,420", DEATH STAR ,6920
VADER,they must be trying to return the stolen plans to the princess she may yet be of some use to us,"01:06:09,510","01:06:16,510", DEATH STAR ,7000
VOICE,unlock onefiveseven and nine release charges,"01:06:21,520","01:06:24,860", DEATH STAR ,3340
OFFICER,theres no one on board sir according to the log the crew abandoned ship right after takeoff it must be a decoy sir several of the escape pods have been jettisoned,"01:06:32,360","01:06:40,580", DEATH STAR ,8220
VADER,did you find any droids,"01:06:40,660","01:06:42,620", DEATH STAR ,1960
OFFICER,no sir if there were any on board they must also have jettisoned,"01:06:40,660","01:06:44,580", DEATH STAR ,3920
VADER,send a scanning crew on board i want every part of this ship checked,"01:06:44,670","01:06:48,170", DEATH STAR ,3500
OFFICER,yes sir,"01:06:48,250","01:06:49,510", DEATH STAR ,1260
VADER,i sense something a presence i havent felt since,"01:06:49,590","01:06:53,720", DEATH STAR ,4130
OFFICER,get me a scanning crew in here on the double i want every part of this ship checked,"01:06:56,430","01:06:59,850", DEATH STAR ,3420
LUKE,boy its lucky you had these compartments,"01:07:08,820","01:07:21,830", MILLENNIUM FALCON ,13010
HAN,i use them for smuggling i never thought id be smuggling myself in them this is ridiculous even if i could take off id never get past the tractor beam,"01:07:21,910","01:07:28,960", MILLENNIUM FALCON ,7050
BEN,leave that to me,"01:07:29,040","01:07:30,380", MILLENNIUM FALCON ,1340
HAN,damn fool i knew that you were going to say that,"01:07:30,460","01:07:33,510", MILLENNIUM FALCON ,3050
BEN,whos the more foolish the fool or the fool who follows him,"01:07:33,590","01:07:37,090", MILLENNIUM FALCON ,3500
TROOPER,the ships all yours if the scanners pick up anything report it immediately all right lets go,"01:07:46,690","01:07:53,440", DEATH STAR ,6750
HAN'S VOICE,hey down there could you give us a hand with this,"01:08:08,130","01:08:13,800", DEATH STAR ,5670
GANTRY OFFICER,txfouronetwo why arent you at your post txfouronetwo do you copy,"01:08:22,180","01:08:27,810", DEATH STAR ,5630
GANTRY OFFICER,take over weve got a bad transmitter ill see what i can do,"01:08:39,820","01:08:42,780", DEATH STAR ,2960
LUKE,you know between his howling and your blasting everything in sight its a wonder the whole station doesnt know were here,"01:09:00,590","01:09:05,140", DEATH STAR ,4550
HAN,bring them on i prefer a straight fight to all this sneaking around,"01:09:05,220","01:09:08,520", DEATH STAR ,3300
THREEPIO,we found the computer outlet sir,"01:09:08,600","01:09:10,400", DEATH STAR ,1800
BEN,plug in he should be able to interpret the entire imperial computer network,"01:09:10,480","01:09:13,520", DEATH STAR ,3040
THREEPIO,he says hes found the main computer to power the tractor beam thats holding the ship here hell try to make the precise location appear on the monitor,"01:09:24,700","01:09:31,170", DEATH STAR ,6470
THREEPIO,the tractor beam is coupled to the main reactor in seven locations a power loss at one of the terminals will allow the ship to leave,"01:09:31,250","01:09:38,630", DEATH STAR ,7380
BEN,i dont think you boys can help i must go alone,"01:09:41,390","01:09:44,640", DEATH STAR ,3250
HAN,whatever you say ive done more that i bargained for on this trip already,"01:09:44,720","01:09:48,140", DEATH STAR ,3420
LUKE,i want to go with you,"01:09:48,230","01:09:52,100", DEATH STAR ,3870
BEN,be patient luke stay and watch over the droids,"01:09:48,230","01:09:52,100", DEATH STAR ,3870
BEN,they must be delivered safely or other star systems will suffer the same fate as alderaan your destiny lies along a different path than mine the force will be with you always,"01:09:54,230","01:10:07,910", DEATH STAR ,13680
HAN,boy you said it chewie,"01:10:17,420","01:10:19,720", DEATH STAR ,2300
HAN,where did you dig up that old fossil,"01:10:19,800","01:10:22,220", DEATH STAR ,2420
LUKE,ben is a great man,"01:10:23,260","01:10:24,850", DEATH STAR ,1590
HAN,yeah great at getting us into trouble,"01:10:24,930","01:10:27,890", DEATH STAR ,2960
LUKE,i didnt hear you give any ideas,"01:10:24,930","01:10:27,890", DEATH STAR ,2960
HAN,well anything would be better than just hanging around waiting for him to pick us up,"01:10:27,970","01:10:31,020", DEATH STAR ,3050
LUKE,who do you think,"01:10:31,100","01:10:33,440", DEATH STAR ,2340
LUKE,what is it,"01:10:33,520","01:10:36,770", DEATH STAR ,3250
THREEPIO,im afraid im not quite sure sir he says i found her and keeps repeating shes here,"01:10:33,520","01:10:39,440", DEATH STAR ,5920
LUKE,well who who has he found,"01:10:39,530","01:10:42,150", DEATH STAR ,2620
THREEPIO,princess leia,"01:10:42,240","01:10:44,990", DEATH STAR ,2750
LUKE,the princess shes here,"01:10:42,240","01:10:44,990", DEATH STAR ,2750
HAN,princess whats going on,"01:10:45,070","01:10:48,790", DEATH STAR ,3720
THREEPIO,level five detention block a atwenty three im afraid shes scheduled to be terminated,"01:10:54,210","01:11:04,470", DEATH STAR ,10260
LUKE,oh no weve got to do something,"01:11:04,550","01:11:07,550", DEATH STAR ,3000
HAN,what are you talking about,"01:11:07,640","01:11:10,100", DEATH STAR ,2460
LUKE,the droid belongs to her shes the one in the message weve got to help her,"01:11:07,640","01:11:12,100", DEATH STAR ,4460
HAN,now look dont get any funny ideas the old man wants us to wait right here,"01:11:12,180","01:11:15,060", DEATH STAR ,2880
LUKE,but he didnt know she was here look will you just find a way back into the detention block,"01:11:15,150","01:11:18,440", DEATH STAR ,3290
HAN,im not going anywhere,"01:11:18,520","01:11:20,980", DEATH STAR ,2460
LUKE,theyre going to execute her look a few minutes ago you said you didnt want to just wait here to be captured now all you want to do is stay,"01:11:18,520","01:11:24,660", DEATH STAR ,6140
HAN,marching into the detention area is not what i had in mind,"01:11:24,740","01:11:27,830", DEATH STAR ,3090
LUKE,but theyre going to kill her,"01:11:27,910","01:11:30,740", DEATH STAR ,2830
HAN,better her than me,"01:11:27,910","01:11:30,740", DEATH STAR ,2830
LUKE,shes rich,"01:11:38,460","01:11:39,840", DEATH STAR ,1380
HAN,rich,"01:11:42,420","01:11:43,840", DEATH STAR ,1420
LUKE,yes rich powerful listen if you were to rescue her the reward would be,"01:11:44,510","01:11:48,550", DEATH STAR ,4040
HAN,what,"01:11:48,640","01:11:51,430", DEATH STAR ,2790
LUKE,well more wealth that you can imagine,"01:11:48,640","01:11:51,430", DEATH STAR ,2790
HAN,i dont know i can imagine quite a bit,"01:11:51,520","01:11:53,520", DEATH STAR ,2000
LUKE,youll get it,"01:11:53,600","01:11:55,690", DEATH STAR ,2090
HAN,i better,"01:11:53,600","01:11:55,690", DEATH STAR ,2090
LUKE,you will,"01:11:55,770","01:11:57,270", DEATH STAR ,1500
HAN,all right kid but youd better be right about this,"01:11:57,350","01:11:59,820", DEATH STAR ,2470
LUKE,all right,"01:11:59,900","01:12:01,900", DEATH STAR ,2000
HAN,whats your plan,"01:11:59,900","01:12:01,900", DEATH STAR ,2000
LUKE,uh threepio hand me those binders there will you,"01:12:02,900","01:12:05,400", DEATH STAR ,2500
LUKE,okay now im going to put these on you,"01:12:06,950","01:12:10,990", DEATH STAR ,4040
LUKE,okay han you put these on,"01:12:12,120","01:12:15,330", DEATH STAR ,3210
HAN,dont worry chewie i think i know what he has in mind,"01:12:16,370","01:12:18,880", DEATH STAR ,2510
THREEPIO,master luke sir pardon me for asking but ah what should artoo and i do if were discovered here,"01:12:18,960","01:12:24,720", DEATH STAR ,5760
LUKE,lock the door,"01:12:24,800","01:12:28,640", DEATH STAR ,3840
HAN,and hope they dont have blasters,"01:12:24,800","01:12:28,640", DEATH STAR ,3840
THREEPIO,that isnt very reassuring,"01:12:28,720","01:12:30,760", DEATH STAR ,2040
LUKE,i cant see a thing in this helmet,"01:12:51,070","01:13:24,440", DEATH STAR ,33370
HAN,this is not going to work,"01:13:55,850","01:13:58,560", DEATH STAR ,2710
LUKE,why didnt you say so before,"01:13:55,850","01:13:58,560", DEATH STAR ,2710
HAN,i did say so before,"01:13:58,640","01:14:00,640", DEATH STAR ,2000
OFFICER,where are you taking this thing,"01:14:15,620","01:14:18,830", DETENTION AREA,3210
LUKE,prisoner transfer from block oneone threeeight,"01:14:18,910","01:14:21,670", DETENTION AREA,2760
OFFICER,i wasnt notified ill have to clear it,"01:14:23,000","01:14:27,000", DETENTION AREA,4000
HAN,look out hes loose,"01:14:33,340","01:14:35,890", DETENTION AREA,2550
LUKE,hes going to pull us all apart,"01:14:33,340","01:14:35,890", DETENTION AREA,2550
HAN,weve got to find out which cell this princess of yours is in here it is cell twentyoneeightseven you go get her ill hold them here,"01:15:11,550","01:15:18,390", DETENTION AREA,6840
HAN,everything is under control situation normal,"01:15:22,310","01:15:24,940", DETENTION AREA,2630
INTERCOM VOICE,what happened,"01:15:25,020","01:15:26,230", DETENTION AREA,1210
HAN,uh had a slight weapons malfunction but uh everythings perfectly all right now were fine were all fine here now thank you how are you,"01:15:26,310","01:15:36,740", DETENTION AREA,10430
INTERCOM VOICE,were sending a squad up,"01:15:34,070","01:15:36,740", DETENTION AREA,2670
HAN,uh uh negative we had a reactor leak here now give us a few minutes to lock it down large leak very dangerous,"01:15:37,740","01:15:44,920", DETENTION AREA,7180
INTERCOM VOICE,who is this whats your operating number,"01:15:45,000","01:15:47,580", DETENTION AREA,2580
HAN,boring conversation anyway,"01:15:50,000","01:15:53,470", DETENTION AREA,3470
LUKE,what oh the uniform im luke skywalker im here to rescue you,"01:16:13,940","01:16:16,030", DEATH STAR ,2090
LEIA,youre who,"01:16:16,110","01:16:19,160", DEATH STAR ,3050
LUKE,im here to rescue you ive got your r2 unit im here with ben kenobi,"01:16:16,110","01:16:21,200", DEATH STAR ,5090
LEIA,ben kenobi is here where is he,"01:16:19,240","01:16:21,200", DEATH STAR ,1960
LUKE,come on,"01:16:21,290","01:16:22,370", DEATH STAR ,1080
VADER,he is here,"01:16:24,370","01:16:27,580", DEATH STAR ,3210
TARKIN,obiwan kenobi what makes you think so,"01:16:24,370","01:16:31,670", DEATH STAR ,7300
VADER,a tremor in the force the last time i felt it was in the presence of my old master,"01:16:28,290","01:16:35,590", DEATH STAR ,7300
TARKIN,surely he must be dead by now,"01:16:35,670","01:16:38,140", DEATH STAR ,2470
VADER,dont underestimate the power of the force,"01:16:38,220","01:16:40,640", DEATH STAR ,2420
TARKIN,the jedi are extinct their fire has gone out of the universe you my friend are all thats left of their religion,"01:16:41,680","01:16:48,400", DEATH STAR ,6720
TARKIN,yes,"01:16:49,190","01:16:50,400", DEATH STAR ,1210
INTERCOM VOICE,governor tarkin we have an emergency alert in detention block a atwenty three,"01:16:50,480","01:16:53,980", DEATH STAR ,3500
TARKIN,the princess put all sections on alert,"01:16:54,650","01:16:57,200", DEATH STAR ,2550
VADER,obiwan is here the force is with him,"01:16:57,280","01:17:00,990", DEATH STAR ,3710
TARKIN,if youre right he must not be allowed to escape,"01:17:01,070","01:17:03,910", DEATH STAR ,2840
VADER,escape is not his plan i must face him alone,"01:17:03,990","01:17:07,500", DEATH STAR ,3510
HAN,cant get out that way,"01:17:35,530","01:17:38,450", DEATH STAR ,2920
LEIA,looks like you managed to cut off our only escape route,"01:17:35,530","01:17:38,450", DEATH STAR ,2920
HAN,maybe youd like it back in your cell your highness,"01:17:38,530","01:17:41,070", DEATH STAR ,2540
THREEPIO,yes sir,"01:17:43,620","01:17:45,790", DEATH STAR ,2170
LUKE,weve been cut off are there any other ways out of the cell bay what was that i didnt copy,"01:17:45,870","01:17:53,790", DEATH STAR ,7920
THREEPIO,i said all systems have been alerted to your presence sir the main entrance seems to be the only way in or out all other information on your level is restricted,"01:17:53,880","01:18:02,300", DEATH STAR ,8420
TROOPER VOICE,open up in there,"01:18:02,390","01:18:04,970", DEATH STAR ,2580
THREEPIO,oh no,"01:18:05,930","01:18:07,640", DEATH STAR ,1710
LUKE,there isnt any other way out,"01:18:07,720","01:18:09,350", DEATH STAR ,1630
HAN,i cant hold them off forever now what,"01:18:14,900","01:18:17,110", DEATH STAR ,2210
LEIA,this is some rescue when you came in here didnt you have a plan for getting out,"01:18:17,190","01:18:20,740", DEATH STAR ,3550
HAN,hes the brains sweetheart,"01:18:20,820","01:18:22,870", DEATH STAR ,2050
LUKE,well i didnt,"01:18:22,950","01:18:24,700", DEATH STAR ,1750
HAN,what the hell are you doing,"01:18:25,830","01:18:29,370", DEATH STAR ,3540
LEIA,somebody has to save our skins into the garbage chute wise guy,"01:18:25,830","01:18:33,380", DEATH STAR ,7550
HAN,get in there you big furry oaf i dont care what you smell get in there and dont worry about it,"01:18:40,840","01:18:49,600", DEATH STAR ,8760
HAN,wonderful girl either im going to kill her or im beginning to like her get in there,"01:18:51,600","01:19:01,900", DEATH STAR ,10300
HAN,oh the garbage chute was a really wonderful idea what an incredible smell youve discovered lets get out of here get away from there,"01:19:14,580","01:19:27,810", DEATH STAR ,13230
LUKE,no wait,"01:19:25,470","01:19:27,810", DEATH STAR ,2340
LUKE,will you forget it i already tried it its magnetically sealed,"01:19:34,600","01:19:37,020", DEATH STAR ,2420
LEIA,put that thing away youre going to get us all killed,"01:19:37,110","01:19:39,360", DEATH STAR ,2250
HAN,absolutely your worship look i had everything under control until you led us down here you know its not going to take them long to figure out what happened to us,"01:19:39,440","01:19:46,870", DEATH STAR ,7430
LEIA,it could be worse,"01:19:46,950","01:19:48,240", DEATH STAR ,1290
HAN,its worse,"01:19:52,790","01:19:54,080", DEATH STAR ,1290
LUKE,theres something alive in here,"01:19:54,160","01:19:57,250", DEATH STAR ,3090
HAN,thats your imagination,"01:19:54,160","01:19:57,250", DEATH STAR ,3090
LUKE,something just moves past my leg look did you see that,"01:19:58,170","01:20:04,880", DEATH STAR ,6710
HAN,what,"01:20:01,840","01:20:04,880", DEATH STAR ,3040
LUKE,the walls are moving,"01:21:53,410","01:22:09,340", DEATH STAR ,15930
FIRST TROOPER,take over,"01:22:23,520","01:22:25,690", DEATH STAR ,2170
FIRST TROOPER,see to him look there,"01:22:28,150","01:22:29,650", DEATH STAR ,1500
THREEPIO,theyre madmen theyre heading for the prison level if you hurry you might catch them,"01:22:32,110","01:22:36,450", DEATH STAR ,4340
FIRST OFFICER,follow me you stand guard,"01:22:36,540","01:22:43,790", DEATH STAR ,7250
THREEPIO,come on,"01:22:48,010","01:22:49,340", DEATH STAR ,1330
THREEPIO,oh all this excitement has overrun the circuits of my counterpart here if you dont mind id like to take him down to maintenance,"01:22:57,640","01:23:04,150", DEATH STAR ,6510
TROOPER,all right,"01:23:04,230","01:23:05,810", DEATH STAR ,1580
HAN,get to the top,"01:23:20,790","01:23:25,000", DEATH STAR ,4210
LEIA,i cant,"01:23:22,160","01:23:25,000", DEATH STAR ,2840
LUKE,where could he be threepio threepio will you come in,"01:23:25,080","01:23:30,210", DEATH STAR ,5130
